station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind,bikes outbound,outbound trips,bikes inbound,inbound trips,delta bikes,delta trips
3135,40.77112927,-73.95772297,E 75 St & 3 Ave,107,99,206,active,40,407,8,96,-32,-311
3136,40.76650452,-73.97147595,5 Ave & E 63 St,0,0,0,inactive,0,0,0,0,0,0
3137,40.77282817,-73.96685276,5 Ave & E 73 St,164,167,331,active,0,0,29,281,29,281
3138,40.774405455003,-73.96175265312193,E 77 St & Park Ave,43,43,86,active,0,0,2,17,2,17
3139,40.77118287540658,-73.96409422159195,E 72 St & Park Ave,87,73,160,active,25,209,4,39,-21,-170
3140,40.77140426,-73.9535166,1 Ave & E 78 St,157,158,315,active,51,444,17,159,-34,-285
3141,40.76500525,-73.95818491,1 Ave & E 68 St,268,272,540,active,4,48,26,221,22,173
3142,40.761227399999996,-73.96094022,1 Ave & E 62 St,132,140,272,active,2,19,25,273,23,254
3143,40.77682863439968,-73.96388769149779,5 Ave & E 78 St,169,174,343,active,0,0,16,197,16,197
3144,40.77677702,-73.95900970000002,E 81 St & Park Ave,53,45,98,active,29,331,2,6,-27,-325
3145,40.77862688,-73.95772073,E 84 St & Park Ave,149,141,290,active,53,522,11,96,-42,-426
3146,40.77573034,-73.9567526,E 81 St & 3 Ave,75,82,157,active,32,374,5,64,-27,-310
3147,40.77801203,-73.95407149,E 85 St & 3 Ave,163,166,329,active,36,311,22,254,-14,-57
3148,40.77565541,-73.95068615,E 84 St & 1 Ave,91,91,182,active,31,316,22,239,-9,-77
3150,40.77536905,-73.94803392,E 85 St & York Ave,88,90,178,active,52,641,6,60,-46,-581
3151,40.7728384,-73.94989233,E 81 St & York Ave,75,73,148,active,42,436,6,54,-36,-382
3152,40.76873687,-73.96119945,3 Ave & E 71 St,32,30,62,active,2,12,3,51,1,39
3153,40.76817546742245,-73.95910263061523,E 71 St & 2 Ave,61,58,119,active,11,104,9,113,-2,9
3154,40.77314236,-73.95856158,E 77 St & 3 Ave,75,75,150,active,5,45,12,128,7,83
3155,40.76440023,-73.96648977,Lexington Ave & E 63 St,123,127,250,active,0,0,14,144,14,144
3156,40.76663814,-73.95348296,E 72 St & York Ave,173,164,337,active,18,196,17,158,-1,-38
3157,40.77518615,-73.94446054,East End Ave & E 86 St,65,70,135,active,33,337,7,49,-26,-288
3158,40.77163851,-73.98261428,W 63 St & Broadway,160,143,303,active,20,141,21,187,1,46
