station id,latitude,longitude,station name,incoming trips,outgoing trips,all trips,kind
315,40.70355377,-74.00670227,South St & Gouverneur Ln,130,129,259,active
316,40.70955958,-74.00653609,Fulton St & William St,98,102,200,active
317,40.72453734,-73.98185424,E 6 St & Avenue B,128,129,257,active
319,40.711066,-74.009447,Fulton St & Broadway,82,83,165,active
320,40.717571,-74.005549,Leonard St & Church St,120,119,239,active
321,40.69991755,-73.98971773,Cadman Plaza E & Red Cross Pl,54,50,104,active
322,40.696192,-73.991218,Clinton St & Tillary St,59,63,122,active
323,40.69236178,-73.98631746,Lawrence St & Willoughby St,93,88,181,active
324,40.689888,-73.981013,DeKalb Ave & Hudson Ave,71,95,166,active
325,40.73624527,-73.98473765,E 19 St & 3 Ave,160,158,318,active
326,40.72953837,-73.98426726,E 11 St & 1 Ave,175,175,350,active
327,40.7153379,-74.01658354,Vesey Pl & River Terrace,293,294,587,active
328,40.72405549,-74.00965965,Watts St & Greenwich St,161,161,322,active
329,40.72043411,-74.01020609,Greenwich St & N Moore St,191,195,386,active
330,40.71450451,-74.00562789,Reade St & Broadway,92,97,189,active
331,40.71173107,-73.99193043,Pike St & Monroe St,52,50,102,active
332,40.71219906,-73.97948148,Cherry St,57,51,108,active
334,40.74238787,-73.99726235,W 20 St & 7 Ave,191,200,391,active
335,40.72903917,-73.99404649,Washington Pl & Broadway,156,156,312,active
336,40.73047747,-73.99906065,Sullivan St & Washington Sq,142,159,301,active
337,40.70379920000001,-74.00838676,Old Slip & Front St,95,96,191,active
339,40.72580614,-73.97422494,Avenue D & E 12 St,39,39,78,active
340,40.71269042,-73.98776323,Madison St & Clinton St,92,93,185,active
341,40.71782143,-73.97628939,Stanton St & Mangin St,63,68,131,active
342,40.71739973,-73.98016555,Columbia St & Rivington St,64,64,128,active
343,40.69794,-73.96986848,Clinton Ave & Flushing Ave,24,28,52,active
344,40.6851443,-73.95380904,Monroe St & Bedford Ave,25,23,48,active
345,40.73649403,-73.99704374,W 13 St & 6 Ave,180,178,358,active
346,40.73652889,-74.00618026,Bank St & Hudson St,156,154,310,active
347,40.728846,-74.00859100000002,Greenwich St & W Houston St,229,227,456,active
348,40.72490985,-74.00154702,W Broadway & Spring St,221,226,447,active
349,40.71850211,-73.98329859,Rivington St & Ridge St,69,56,125,active
350,40.71559509,-73.9870295,Clinton St & Grand St,86,87,173,active
351,40.70530954,-74.00612572,Front St & Maiden Ln,93,92,185,active
352,40.76340613,-73.97722479,W 56 St & 6 Ave,173,176,349,active
353,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,23,14,37,active
354,40.69363137,-73.96223558,Emerson Pl & Myrtle Ave,22,33,55,active
355,40.71602118,-73.99974372,Bayard St & Baxter St,116,119,235,active
356,40.71622644,-73.98261206,Bialystoker Pl & Delancey St,95,116,211,active
357,40.73261787,-73.99158043,E 11 St & Broadway,119,121,240,active
358,40.73291553,-74.00711384,Christopher St & Greenwich St,314,319,633,active
359,40.75510267,-73.97498696,E 47 St & Park Ave,398,393,791,active
360,40.70717936,-74.00887308,William St & Pine St,101,112,213,active
361,40.71605866,-73.99190759,Allen St & Hester St,138,148,286,active
362,40.75172632,-73.98753523,Broadway & W 37 St,113,114,227,active
363,40.70834698,-74.01713445,West Thames St,209,204,413,active
364,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,42,41,83,active
365,40.68223166,-73.9614583,Fulton St & Grand Ave,37,31,68,active
366,40.693261,-73.968896,Clinton Ave & Myrtle Ave,73,73,146,active
367,40.75828065,-73.97069431,E 53 St & Lexington Ave,162,160,322,active
368,40.73038599,-74.00214988,Carmine St & 6 Ave,312,333,645,active
369,40.73224119,-74.00026394,Washington Pl & 6 Ave,124,111,235,active
372,40.69452800000001,-73.958089,Franklin Ave & Myrtle Ave,11,8,19,active
373,40.69331716,-73.95381995,Willoughby Ave & Walworth St,20,24,44,active
375,40.72679454,-73.99695094,Mercer St & Bleecker St S,26,30,56,active
376,40.70862144,-74.00722156,John St & William St,109,107,216,active
377,40.72243797,-74.00566443,6 Ave & Canal St,153,152,305,active
379,40.749156,-73.9916,W 31 St & 7 Ave,337,340,677,active
380,40.73401143,-74.00293877,W 4 St & 7 Ave S,204,199,403,active
382,40.73492695,-73.99200509,University Pl & E 14 St,280,280,560,active
383,40.735238,-74.000271,Greenwich Ave & Charles St,190,199,389,active
384,40.683048,-73.964915,Fulton St & Washington Ave,47,51,98,active
385,40.75797322,-73.96603308,E 55 St & 2 Ave,130,134,264,active
386,40.71494807,-74.00234482,Centre St & Worth St,113,113,226,active
387,40.71273266,-74.0046073,Centre St & Chambers St,241,241,482,active
388,40.749717753,-74.002950346,W 26 St & 10 Ave,280,282,562,active
389,40.71044554,-73.96525063,Broadway & Berry St,49,52,101,active
390,40.69221589,-73.9842844,Duffield St & Willoughby St,54,60,114,active
391,40.69760127,-73.99344559,Clark St & Henry St,23,16,39,active
392,40.695065,-73.987167,Jay St & Tech Pl,75,69,144,active
393,40.72299208,-73.97995466,E 5 St & Avenue C,79,70,149,active
394,40.72521311,-73.97768752,E 9 St & Avenue C,136,128,264,active
395,40.68807003,-73.98410637,Bond St & Schermerhorn St,44,33,77,active
396,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave,41,36,77,active
397,40.68415748,-73.96922273,Fulton St & Clermont Ave,44,42,86,active
398,40.69165183,-73.99997859999998,Atlantic Ave & Furman St,57,70,127,active
399,40.68851534,-73.9647628,Lafayette Ave & St James Pl,19,22,41,active
400,40.71926081,-73.98178024,Pitt St & Stanton St,23,21,44,active
401,40.72019576,-73.98997825,Allen St & Rivington St,164,163,327,active
402,40.74034320000001,-73.98955109,Broadway & E 22 St,565,571,1136,active
405,40.739323,-74.008119,Washington St & Gansevoort St,81,65,146,active
406,40.69512845,-73.99595065,Hicks St & Montague St,52,44,96,active
407,40.700469,-73.991454,Henry St & Poplar St,26,18,44,active
408,40.71076228,-73.99400398,Market St & Cherry St,57,59,116,active
409,40.6906495,-73.95643107,DeKalb Ave & Skillman St,30,21,51,active
410,40.72066442,-73.98517977,Suffolk St & Stanton St,174,172,346,active
411,40.72228087,-73.97668709,E 6 St & Avenue D,51,64,115,active
412,40.71581550000001,-73.99422366,Forsyth St & Canal St,99,96,195,active
414,40.70281858,-73.98765762,Pearl St & Anchorage Pl,63,68,131,active
415,40.7047177,-74.00926027,Pearl St & Hanover Square,119,122,241,active
416,40.68753406,-73.97265183,Cumberland St & Lafayette Ave,39,34,73,active
417,40.71291224,-74.01020234,Barclay St & Church St,210,213,423,active
418,40.70224,-73.982578,Front St & Gold St,35,46,81,active
419,40.69580705,-73.97355569,Carlton Ave & Park Ave,22,14,36,active
420,40.68764484,-73.96968902,Clermont Ave & Lafayette Ave,28,30,58,active
421,40.69573398,-73.97129668,Clermont Ave & Park Ave,21,24,45,active
422,40.770513,-73.988038,W 59 St & 10 Ave,73,70,143,active
423,40.76584941,-73.98690506,W 54 St & 9 Ave,114,114,228,active
426,40.71754834,-74.01322069,West St & Chambers St,419,428,847,active
427,40.701907,-74.013942,Bus Slip & State St,112,116,228,active
428,40.72467721,-73.98783413,E 3 St & 1 Ave,184,192,376,active
430,40.7014851,-73.98656928,York St & Jay St,111,121,232,active
432,40.72621788,-73.98379855,E 7 St & Avenue A,226,346,572,active
433,40.72955361,-73.98057249,E 13 St & Avenue A,146,147,293,active
434,40.74317449,-74.00366443,9 Ave & W 18 St,264,270,534,active
435,40.74173969,-73.99415556,W 21 St & 6 Ave,416,422,838,active
436,40.68216564,-73.95399026,Hancock St & Bedford Ave,16,18,34,active
437,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,45,45,90,active
438,40.72779126,-73.98564945,St Marks Pl & 1 Ave,162,161,323,active
439,40.7262807,-73.98978041,E 4 St & 2 Ave,193,210,403,active
440,40.75255434,-73.97282625,E 45 St & 3 Ave,138,139,277,active
441,40.756014,-73.967416,E 52 St & 2 Ave,124,127,251,active
442,40.746647,-73.993915,W 27 St & 7 Ave,208,208,416,active
443,40.70853074,-73.96408963,Bedford Ave & S 9 St,7,5,12,active
444,40.7423543,-73.98915076,Broadway & W 24 St,343,322,665,active
445,40.72740794,-73.98142006,E 10 St & Avenue A,186,186,372,active
446,40.74487634,-73.99529885,W 24 St & 7 Ave,246,250,496,active
447,40.76370739,-73.9851615,8 Ave & W 52 St,145,145,290,active
448,40.75660359,-73.9979009,W 37 St & 10 Ave,148,146,294,active
449,40.76461837,-73.98789473,W 52 St & 9 Ave,116,115,231,active
450,40.76227205,-73.98788205,W 49 St & 8 Ave,218,213,431,active
453,40.74475148,-73.99915362,W 22 St & 8 Ave,194,197,391,active
454,40.75455731,-73.96592976,E 51 St & 1 Ave,94,90,184,active
455,40.75001986,-73.96905301,1 Ave & E 44 St,180,186,366,active
456,40.75971079999999,-73.97402311,E 53 St & Madison Ave,148,151,299,active
457,40.76695317,-73.98169333,Broadway & W 58 St,239,239,478,active
458,40.751396,-74.00522600000002,11 Ave & W 27 St,270,276,546,active
459,40.746745,-74.007756,W 20 St & 11 Ave,327,327,654,active
460,40.71285887,-73.96590294,S 4 St & Wythe Ave,78,84,162,active
