Index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
444259,512.0,2016-03-11 08:35:38,2016-03-11 08:44:10,444.0,Broadway & W 24 St,40.742354299999995,-73.98915076,434.0,9 Ave & W 18 St,40.74317449,-74.00366443,23578.0,Subscriber,1957.0,1.0
444590,958.0,2016-03-12 16:45:43,2016-03-12 17:01:42,444.0,Broadway & W 24 St,40.742354299999995,-73.98915076,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,23578.0,Subscriber,1983.0,1.0
448649,486.0,2016-03-07 17:40:58,2016-03-07 17:49:04,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,401.0,Allen St & Rivington St,40.72019576,-73.98997825,23578.0,Subscriber,1981.0,1.0
448953,175.0,2016-03-09 18:48:53,2016-03-09 18:51:48,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,23578.0,Subscriber,1987.0,1.0
459890,1011.0,2016-03-08 18:45:53,2016-03-08 19:02:44,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,253.0,W 13 St & 5 Ave,40.73543934,-73.99453948,23578.0,Subscriber,1964.0,1.0
477207,807.0,2016-03-08 18:11:15,2016-03-08 18:24:43,457.0,Broadway & W 58 St,40.76695317,-73.98169333,490.0,8 Ave & W 33 St,40.751551,-73.993934,23578.0,Subscriber,1958.0,1.0
481344,575.0,2016-03-12 16:15:26,2016-03-12 16:25:01,458.0,11 Ave & W 27 St,40.751396,-74.00522600000001,444.0,Broadway & W 24 St,40.742354299999995,-73.98915076,23578.0,Subscriber,1987.0,1.0
483649,1189.0,2016-03-07 15:52:14,2016-03-07 16:12:04,459.0,W 20 St & 11 Ave,40.746745000000004,-74.007756,401.0,Allen St & Rivington St,40.72019576,-73.98997825,23578.0,Subscriber,1970.0,1.0
498290,1535.0,2016-03-08 10:55:24,2016-03-08 11:21:00,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,540.0,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,23578.0,Subscriber,1974.0,1.0
498747,428.0,2016-03-11 08:06:49,2016-03-11 08:13:57,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,444.0,Broadway & W 24 St,40.742354299999995,-73.98915076,23578.0,Subscriber,1973.0,1.0
505473,644.0,2016-03-08 16:24:46,2016-03-08 16:35:30,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,533.0,Broadway & W 39 St,40.75299641,-73.98721619,23578.0,Subscriber,1981.0,2.0
505540,472.0,2016-03-08 19:49:21,2016-03-08 19:57:13,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,23578.0,Subscriber,1975.0,2.0
525874,2340.0,2016-03-09 00:33:25,2016-03-09 01:12:25,474.0,5 Ave & E 29 St,40.7451677,-73.98683077,2002.0,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,23578.0,Subscriber,1979.0,1.0
529457,265.0,2016-03-08 14:56:34,2016-03-08 15:01:00,475.0,E 16 St & Irving Pl,40.73524276,-73.98758561,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,23578.0,Subscriber,1964.0,1.0
532538,735.0,2016-03-10 00:25:00,2016-03-10 00:37:16,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,401.0,Allen St & Rivington St,40.72019576,-73.98997825,23578.0,Subscriber,1988.0,1.0
544515,1964.0,2016-03-12 18:53:29,2016-03-12 19:26:14,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,23578.0,Subscriber,1963.0,1.0
554647,520.0,2016-03-06 18:48:43,2016-03-06 18:57:24,483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,23578.0,Subscriber,1990.0,1.0
572000,572.0,2016-03-11 06:01:14,2016-03-11 06:10:46,488.0,W 39 St & 9 Ave,40.75645824,-73.99372222,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,23578.0,Subscriber,1965.0,1.0
579538,282.0,2016-03-08 18:31:32,2016-03-08 18:36:14,490.0,8 Ave & W 33 St,40.751551,-73.993934,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,23578.0,Subscriber,1993.0,1.0
584698,196.0,2016-03-08 16:04:00,2016-03-08 16:07:17,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,23578.0,Subscriber,1972.0,1.0
595388,877.0,2016-03-09 15:27:24,2016-03-09 15:42:02,494.0,W 26 St & 8 Ave,40.74734825,-73.99723551,281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,23578.0,Subscriber,1957.0,1.0
617244,476.0,2016-03-12 08:05:54,2016-03-12 08:13:50,499.0,Broadway & W 60 St,40.76915505,-73.98191841,305.0,E 58 St & 3 Ave,40.76095756,-73.96724467,23578.0,Subscriber,1951.0,1.0
631337,356.0,2016-03-09 23:46:48,2016-03-09 23:52:44,504.0,1 Ave & E 15 St,40.73221853,-73.98165557,476.0,E 31 St & 3 Ave,40.74394314,-73.97966069,23578.0,Subscriber,1986.0,1.0
640395,947.0,2016-03-12 07:01:22,2016-03-12 07:17:10,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,499.0,Broadway & W 60 St,40.76915505,-73.98191841,23578.0,Subscriber,1988.0,1.0
646225,699.0,2016-03-12 13:54:10,2016-03-12 14:05:49,509.0,9 Ave & W 22 St,40.7454973,-74.00197139,346.0,Bank St & Hudson St,40.73652889,-74.00618026,23578.0,Subscriber,1964.0,1.0
658342,635.0,2016-03-08 10:04:35,2016-03-08 10:15:10,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,23578.0,Subscriber,1990.0,1.0
675887,956.0,2016-03-08 17:45:23,2016-03-08 18:01:20,519.0,Pershing Square North,40.751872999999996,-73.97770600000001,457.0,Broadway & W 58 St,40.76695317,-73.98169333,23578.0,Subscriber,1963.0,1.0
